best_fitness,best_acc,fitness,acc,best_test_fitness,best_test_acc
-0.10235150158405304,0.5608400106430054,-0.10235150158405304,0.5608400106430054,-0.08361637592315674,0.5372287631034851
-0.10235150158405304,0.5608400106430054,-0.18550001084804535,0.6704166531562805,-0.08361637592315674,0.5372287631034851
-0.04639498144388199,0.7890722155570984,-0.04639498144388199,0.7890722155570984,-0.049365438520908356,0.7955400943756104
-0.04639498144388199,0.7890722155570984,-0.059401363134384155,0.8605940937995911,-0.049365438520908356,0.7955400943756104
-0.04433257132768631,0.8332105875015259,-0.04433257132768631,0.8332105875015259,-0.03535594791173935,0.8774306178092957
-0.022075023502111435,0.9199410676956177,-0.022075023502111435,0.9199410676956177,-0.02835334837436676,0.9197713732719421
-0.020611049607396126,0.9370909333229065,-0.020611049607396126,0.9370909333229065,-0.013131706975400448,0.9367952942848206
-0.018842283636331558,0.9542526602745056,-0.018842283636331558,0.9542526602745056,-0.03202333301305771,0.955388069152832
-0.018842283636331558,0.9542526602745056,-0.03479772433638573,0.9478750228881836,-0.03202333301305771,0.955388069152832
-0.011830097064375877,0.9930000305175781,-0.011830097064375877,0.9930000305175781,-0.011916782706975937,0.9580778479576111
